"","symbol","concept","contexts","types","label"
2216,"carp","love","japanese","Simulation","love"
2217,"carp","lucky","japanese","Simulation","lucky"
2218,"carp","luckyOmen","chinese","Simulation","lucky omen"
2219,"carp","steedOfTheImmortals","chinese","Simulation","steed of the Immortals"
2220,"carp","success","japanese","Simulation","success"
2221,"carp","virility","japanese","Simulation","virility"
2222,"carp","voracity","generalOrUnknown","Simulation","voracity"
2223,"carp","war","generalOrUnknown","Simulation","war"
2224,"carpenter","christ","christian","Simulation","Christ"
2225,"carpenter","dedalus","greek","Simulation","Dedalus"
2226,"carpenter","oneWhoBringsOrderOutOfChaos","generalOrUnknown","Simulation","one who brings order out of chaos"
2227,"carpenter","stJoseph","christian","Simulation","St. Joseph"
2228,"carpenter","theCreator","generalOrUnknown","Simulation","the creator"
2229,"caste","theFourCardinalPoints","generalOrUnknown","Simulation","the four cardinal points"
2230,"castle","authority","generalOrUnknown","Simulation","authority"
2231,"castle","defense","generalOrUnknown","Simulation","defense"
2232,"castle","grandeur","heraldic","Simulation","grandeur"
2233,"castle","impregnability","generalOrUnknown","Simulation","impregnability"
2234,"castle","nobility","heraldic","Simulation","nobility"
2235,"castle","protection","heraldic","Simulation","protection"
2236,"castle","solidity","heraldic","Simulation","solidity"
2237,"castle","sovereignty","generalOrUnknown","Simulation","sovereignty"
2238,"castle","strategy","heraldic","Simulation","strategy"
2239,"castle","strength","heraldic","Simulation","strength"
2240,"castle","thePsyche","generalOrUnknown","Simulation","the psyche"
2241,"castle","theTranscendentSoul","generalOrUnknown","Simulation","the transcendent soul"
2242,"carp","courage","chinese @ generalOrUnknown @ japanese","Simulation","courage"
2243,"carp","longevity","chinese @ generalOrUnknown @ japanese","Simulation","longevity"
2244,"brass","shamelessness","generalOrUnknown","Simulation","shamelessness"
2245,"brass","theArchangelsAnael","generalOrUnknown","AssociationSimulation","the archangels Anael"
2246,"brass","theDevil","generalOrUnknown","AssociationSimulation","the devil"
2247,"brass","theUnderworld","generalOrUnknown","AssociationSimulation","the underworld"
2248,"brass","venusPlanet","generalOrUnknown","AssociationSimulation","Venus (planet)"
2249,"brass","zadkiel","generalOrUnknown","AssociationSimulation","Zadkiel"
2250,"bread","anu","sumeroSemitic","AttributeSimulation","Anu"
2251,"bread","communion","sumeroSemitic","Simulation","communion"
2252,"bread","demeter","greek","Simulation","Demeter"
2253,"bread","fecundity","generalOrUnknown","Simulation","fecundity"
2254,"bread","godSProvidence","christian","Simulation","God’s providence"
2255,"bread","goodness","generalOrUnknown","Simulation","goodness"
2256,"bread","hospitality","generalOrUnknown","Simulation","hospitality"
2257,"bread","life","generalOrUnknown","Simulation","life"
2258,"brass","strength","generalOrUnknown @ middleAges","Simulation","strength"
2259,"dragon","aBeneficentDeity","oriental","AttributeSimulation","a beneficent deity"
2260,"dragon","aChief","celtic","EmblematicSimulation","a chief"
2261,"dragon","adversary","generalOrUnknown","Simulation","adversary"
2262,"dragon","ajatarEspeciallyNursingSerpents","finnish","Simulation","Ajatar (especially nursing serpents)"
2263,"dragon","aPlagueOrSickness","generalOrUnknown","Simulation","a plague or sickness"
2264,"dragon","cado","christian","AttributeSimulation","Cado"
2265,"dragon","charitableFervor","heraldic","Simulation","charitable fervor"
2266,"dragon","clementOfMetz","christian","AttributeSimulation","Clement of Metz"
2267,"dove","pershingAngels","heraldic","Simulation","Pershing Angels"
2268,"dove","renewedSpirit","alchemic","Simulation","renewed spirit"
2269,"dove","sacredToHachiman","japanese","Simulation","sacred to Hachiman"
2270,"dove","sigmaAlphaOmega","heraldic","Simulation","Sigma Alpha Omega"
2271,"dove","stJoachim","christian","AttributeSimulation","St. Joachim"
2272,"dove","teresa","christian","AttributeSimulation","Teresa"
2273,"dove","theAllMother","generalOrUnknown","Simulation","the All Mother"
2274,"dove","theChangeFromTheBlackStageToTheWhitePhaseOfTransformation","alchemic","Simulation","the change from the Black Stage to the White Phase of transformation"
2275,"dove","theLifeSpirit","generalOrUnknown","Simulation","the life spirit"
2276,"dove","thePersonificationsOfPeace","generalOrUnknown","AttributeSimulation","the personifications of Peace"
2277,"dove","theSpiritOfLight","generalOrUnknown","Simulation","the spirit of light"
2278,"dove","theTreeOfLifeAndTheVasesOfTheWatersOfLife","egyptian","AttributeSimulation","the Tree of Life and the vases of the waters of life"
2279,"dragon","dwellerInTheWilderness","jewish","Simulation","dweller in the wilderness"
2280,"dragon","enemyOfGod","christian","Simulation","enemy of God"
2281,"dragon","generallyBeneficentCelestial","oriental","Simulation","generally beneficent, celestial"
2282,"dragon","generallyDestructiveEvilInfernal","occidental","Simulation","generally destructive, evil, infernal"
2283,"dragon","guardianOfFertility","generalOrUnknown","Simulation","guardian of fertility"
2284,"dragon","haoma","persian","AttributeSimulation","Haoma"
2285,"dragon","indistinguishableFromTheSerpent","chinese","Simulation","indistinguishable from the serpent"
2286,"dragon","keyne","christian","AttributeSimulation","Keyne"
2287,"dragon","manifestPower","hindu","Simulation","manifest power"
2288,"dragon","omegaPhiGamma","heraldic","Simulation","Omega Phi Gamma"
2289,"dragon","osirisAsGodOfTheDead","egyptian","EmblematicSimulation","Osiris as god of the dead"
2290,"dragon","placesOfShadow","jewish","AssociationSimulation","places of shadow"
2291,"dragon","rhythmsOfNature","chinese","Simulation","rhythms of nature"
2292,"dragon","ssTheodore","christian","AttributeSimulation","SS Theodore"
2293,"dragon","theAdversary","sumeroSemitic","Simulation","the adversary"
2294,"dragon","theApostlePhilip","christian","AttributeSimulation","the Apostle Philip"
2295,"dove","aphrodite","greek","Simulation","Aphrodite"
2296,"dove","aspiration","generalOrUnknown","Simulation","aspiration"
2297,"dove","benedict","christian","AttributeSimulation","Benedict"
2298,"dove","chastity","generalOrUnknown","AttributeSimulation","chastity"
2299,"dove","constancy","generalOrUnknown","Simulation","constancy"
2300,"dove","cowardice","generalOrUnknown","Simulation","cowardice"
2301,"dove","david","christian","AttributeSimulation","David"
2302,"dove","deference","japanese","Simulation","deference"
2303,"dove","divination","generalOrUnknown","Simulation","divination"
2304,"dove","divinePower","sumeroSemitic","Simulation","divine power"
2305,"dove","eternalLife","heraldic","Simulation","eternal life"
2306,"dove","faithfulness","chinese","Simulation","faithfulness"
2307,"dove","femininity","generalOrUnknown","Simulation","femininity"
2308,"dove","gammaPhiDeltaSorority","heraldic","Simulation","Gamma Phi Delta (sorority)"
2309,"dove","gentleness","generalOrUnknown","Simulation","gentleness"
2310,"dove","goodDigestion","chinese","Simulation","good digestion"
2311,"dove","greatMothers","generalOrUnknown","AttributeSimulation","Great Mothers"
2312,"dove","gregoryTheGreat","christian","AttributeSimulation","Gregory the Great"
2313,"dove","guilelessness","generalOrUnknown @ jewish","Simulation","guilelessness"
2314,"dove","harmlessness","jewish","Simulation","harmlessness"
2315,"dove","heavenlyMessenger","grecoRoman","Simulation","heavenly messenger"
2316,"dove","humility","generalOrUnknown","Simulation","humility"
2317,"dove","impartialFilialDuty","chinese","Simulation","impartial filial duty"
2318,"dove","inanna","mesopotamian","Simulation","Inanna"
2319,"dove","internationalAssociationOfRebekahAssemblies","heraldic","Simulation","International Association of Rebekah Assemblies"
2320,"dove","ishtar","sumeroSemitic","AttributeSimulation","Ishtar"
2321,"dove","johnChrysostom","christian","AttributeSimulation","John Chrysostom"
2322,"dove","maternity","generalOrUnknown","Simulation","maternity"
2323,"dove","meekness","jewish","Simulation","meekness"
2324,"dove","melancholy","generalOrUnknown","Simulation","melancholy"
2325,"dove","messengerOfYama","hindu","Simulation","messenger of Yama"
2326,"dove","moirai","greek","Simulation","Moirai"
2327,"dove","mourning","generalOrUnknown","Simulation","mourning"
2328,"dove","orderliness","chinese","Simulation","orderliness"
2329,"dove","pride","generalOrUnknown","Simulation","pride"
2330,"dove","purity","generalOrUnknown","Simulation","purity"
2331,"dove","queensOfHeaven","generalOrUnknown","AttributeSimulation","queens of heaven"
2332,"dove","renewalOfLife","grecoRoman","Simulation","renewal of life"
2333,"dove","sacredToAstarte","sumeroSemitic","Simulation","sacred to Astarte"
2334,"dove","sacrifice","generalOrUnknown","Simulation","sacrifice"
2335,"dove","simpleton","generalOrUnknown","Simulation","simpleton"
2336,"dove","spring","chinese","Simulation","spring"
2337,"dove","ssAmbrose","christian","AttributeSimulation","SS Ambrose"
2338,"dove","theArchangelAnael","generalOrUnknown","AssociationSimulation","the archangel Anael"
2339,"dove","theEarthMother","chinese","AssociationSimulation","the Earth Mother"
2340,"dove","theGreatMother","minoan","AttributeSimulation","the great Mother"
2341,"dove","theSoul","generalOrUnknown","Simulation","the soul"
2342,"dove","theTiburtineSibyl","generalOrUnknown","AttributeSimulation","the Tiburtine sibyl"
2343,"dove","thomasAquinas","christian","AttributeSimulation","Thomas Aquinas"
2344,"dove","timidity","generalOrUnknown","Simulation","timidity"
2345,"dove","truth","generalOrUnknown","Simulation","truth"
2346,"dove","turanMythology","etruscan","Simulation","Turan (mythology)"
2347,"dove","voluptuousness","grecoRoman","Simulation","voluptuousness"
2348,"dove","wisdom","generalOrUnknown","Simulation","wisdom"
2349,"dove","innocence","egyptian @ generalOrUnknown @ jewish","Simulation","innocence"
2350,"dove","lasciviousness","chinese @ generalOrUnknown","Simulation","lasciviousness"
2351,"dove","longevity","chinese @ generalOrUnknown @ japanese","Simulation","longevity"
2352,"clouds","mystery","generalOrUnknown @ heraldic","Simulation","mystery"
2353,"comb","burials","generalOrUnknown","AssociationSimulation","burials"
2354,"coat","selfCare","generalOrUnknown","Simulation","self-care"
2355,"coat","selfNurturing","generalOrUnknown","Simulation","self-nurturing"
2356,"coatOfManyColors","joseph","jewish","AttributeSimulation","Joseph"
2357,"coins","thePowerAndPossessionsThatDeathTakesAway","stillLifePainting","Simulation","the power and possessions that death takes away"
2358,"coins","theUnfavorableAspectsOfMoney","generalOrUnknown","Simulation","the unfavorable aspects of money"
2359,"coins","trustworthyWithTreasure","heraldic","Simulation","trustworthy with treasure"
2360,"coins","vanityPersonified","generalOrUnknown","AttributeSimulation","Vanity personified"
2361,"college","expansionOfConsciousness","generalOrUnknown","Simulation","expansion of consciousness"
2362,"college","providerOfDisciplineToTheUntrainedMind","generalOrUnknown","Simulation","provider of discipline to the untrained mind"
2363,"comb","sacrificialRemains","generalOrUnknown","Simulation","sacrificial remains"
2364,"coat","protection","generalOrUnknown","Simulation","protection"
2365,"coins","avarice","generalOrUnknown","Simulation","avarice"
2366,"coins","bribery","generalOrUnknown","Simulation","bribery"
2367,"coins","trade","generalOrUnknown","Simulation","trade"
2368,"comb","aphroditeVenus","generalOrUnknown","AttributeSimulation","Aphrodite/Venus"
2369,"comb","entanglement","generalOrUnknown","Simulation","entanglement"
2370,"comb","fertility","generalOrUnknown","Simulation","fertility"
2371,"comb","knowledge","generalOrUnknown","Simulation","knowledge"
2372,"comb","lamia","generalOrUnknown","AttributeSimulation","lamia"
2373,"comb","mermaids","generalOrUnknown","AttributeSimulation","mermaids"
2374,"comb","music","generalOrUnknown","Simulation","music"
2375,"comb","rain","generalOrUnknown","Simulation","rain"
2376,"comb","sirens","generalOrUnknown","AttributeSimulation","sirens"
2377,"comb","sunRays","generalOrUnknown","Simulation","sun rays"
2378,"comb","vanity","generalOrUnknown","Simulation","vanity"
2379,"dragon","error","generalOrUnknown @ christian","Simulation @ AttributeSimulation","error"
2380,"dragon","evil","christian @ generalOrUnknown","Simulation","evil"
2381,"dragon","heresy","christian @ generalOrUnknown","AttributeSimulation @ Simulation","heresy"
2382,"carp","perseverance","chinese @ generalOrUnknown @ japanese","Simulation","perseverance"
2383,"castle","safety","generalOrUnknown @ heraldic","Simulation","safety"
2384,"cheetah","focus","generalOrUnknown","Simulation","focus"
2385,"cheetah","speed","generalOrUnknown","Simulation","speed"
2386,"chess","conflictBetweenThePowersOfLightAndDark","generalOrUnknown","Simulation","conflict between the powers of light and dark"
2387,"chess","existenceAsAFieldOfActionOfOpposingForces","generalOrUnknown","Simulation","existence as a field of action of opposing forces"
2388,"chess","manifestationAndReabsorption","generalOrUnknown","Simulation","manifestation and reabsorption"
2389,"chess","theSexesMeetingOnEqualTerms","generalOrUnknown","Simulation","the sexes meeting on equal terms"
2390,"chick","easter","generalOrUnknown","EmblematicSimulation","Easter"
2391,"chick","rebirth","generalOrUnknown","Simulation","rebirth"
2392,"chickweed","rendezvous","flowerLanguage","Simulation","rendezvous"
2393,"child","conjunctionOfTheConsciousAndTheUnconscious","generalOrUnknown","Simulation","conjunction of the conscious and the unconscious"
2394,"child","harbingerOfBeneficentChange","generalOrUnknown","Simulation","harbinger of beneficent change"
2395,"child","hilary","christian","AttributeSimulation","Hilary"
2396,"child","naturalSimplicity","generalOrUnknown","Simulation","natural simplicity"
2397,"child","oneSInnerSelf","generalOrUnknown","Simulation","one’s inner self"
2398,"child","perfectFaithAndBelief","christian","Simulation","perfect faith and belief"
2399,"child","statePriorToOriginalSin","generalOrUnknown","Simulation","state prior to Original Sin"
2400,"child","theHigherTransformationOfTheIndividual","generalOrUnknown","Simulation","the higher transformation of the individual"
2401,"child","thePreconscious","generalOrUnknown","Simulation","the preconscious"
2402,"child","unityWithNature","generalOrUnknown","Simulation","unity with nature"
2403,"childInTheArms","stVincentDepaul","christian","AttributeSimulation","St. Vincent DePaul"
2404,"chimneySweep","fertility","generalOrUnknown","RelatednessSimulation","fertility"
2405,"chimneySweep","luckyOmen","generalOrUnknown","Simulation","lucky omen"
2406,"chrysanthemum","coolSplendor","chinese","Simulation","cool splendor"
2407,"chrysanthemum","fullness","oriental","Simulation","fullness"
2408,"chrysanthemum","imperialPride","japanese","Simulation","imperial pride"
2409,"chrysanthemum","joviality","chinese","Simulation","joviality"
2410,"chrysanthemum","naturalAndRestrainedSpontaneity","taoist","Simulation","natural and restrained spontaneity"
2411,"chrysanthemum","scholarliness","oriental","Simulation","scholarliness"
2412,"chrysanthemum","theLifeOfEase","chinese","Simulation","the life of ease"
2413,"chess","conflict","generalOrUnknown","Simulation","conflict"
2414,"chess","life","generalOrUnknown","Simulation","life"
2415,"chess","war","generalOrUnknown","Simulation","war"
2416,"child","beginning","generalOrUnknown","Simulation","beginning"
2417,"child","dawn","generalOrUnknown","Simulation","dawn"
2418,"child","forgetfulness","generalOrUnknown","Simulation","forgetfulness"
2419,"child","hope","generalOrUnknown","Simulation","hope"
2420,"child","ignorance","generalOrUnknown","Simulation","ignorance"
2421,"child","ingratitude","generalOrUnknown","Simulation","ingratitude"
2422,"child","innocence","generalOrUnknown","Simulation","innocence"
2423,"child","potentialities","generalOrUnknown","Simulation","potentialities"
2424,"child","purity","generalOrUnknown","Simulation","purity"
2425,"child","spring","generalOrUnknown","Simulation","spring"
2426,"child","ssAugustine","christian","AttributeSimulation","SS Augustine"
2427,"child","theEternal","generalOrUnknown","AssociationSimulation","the eternal"
2428,"child","theFuture","generalOrUnknown","Simulation","the future"
2429,"child","thePhilosopherSStone","alchemic","Simulation","the philosopher’s stone"
2430,"chrysanthemum","cheerfulness","heraldic","Simulation","cheerfulness"
2431,"chrysanthemum","china","chinese","EmblematicSimulation","China"
2432,"chrysanthemum","completeness","oriental","Simulation","completeness"
2433,"chrysanthemum","constancy","generalOrUnknown","Simulation","constancy"
2434,"chrysanthemum","friendship","heraldic","Simulation","friendship"
2435,"chrysanthemum","happiness","japanese","Simulation","happiness"
2436,"chrysanthemum","hope","heraldic","Simulation","hope"
2437,"chrysanthemum","immortality","oriental","Simulation","immortality"
2438,"chrysanthemum","intermediaryBetweenHeavenAndEarth","oriental","Simulation","intermediary between heaven and earth"
2439,"chrysanthemum","nobility","generalOrUnknown","Simulation","nobility"
2440,"chrysanthemum","optimism","heraldic","Simulation","optimism"
2441,"chrysanthemum","perfection","generalOrUnknown","Simulation","perfection"
2442,"chrysanthemum","purity","generalOrUnknown","Simulation","purity"
2443,"chrysanthemum","regalBeauty","generalOrUnknown","Simulation","regal beauty"
2444,"chrysanthemum","reliability","generalOrUnknown","Simulation","reliability"
2445,"chaplet","UsuallyWithGreenLeavesAndFourRosesAdmiration","heraldic","Simulation","(usually with green leaves and four roses) admiration"
2446,"chalice","theHeartEspeciallyWhenFilledWithWine","generalOrUnknown","AssociationSimulation","the heart (especially when filled with wine)"
2447,"chaplet","joy","heraldic","Simulation","joy"
2448,"chariot","conveyanceOfTheFaithfulToHeaven","christian","Simulation","conveyance of the faithful to heaven"
2449,"chariot","theBeingInManifestation","hindu","Simulation","the being in manifestation"
2450,"chariot","theVehicleOfAllSunGods","grecoRoman","Simulation","the vehicle of all sun gods"
2451,"chariot","theVehicleOfTheSoulInAStateOfTravail","hindu","Simulation","the vehicle of the soul in a state of travail"
2452,"chariot","victors","generalOrUnknown","AttributeSimulation","victors"
2453,"chariotWheels","heavenAndEarth","generalOrUnknown","Simulation","heaven and earth"
2454,"chalice","abundance","generalOrUnknown","Simulation","abundance"
2455,"chalice","bonaventure","christian","EmblematicSimulation","Bonaventure"
2456,"chalice","dionysus","greek","Simulation","Dionysus"
2457,"chalice","faith","christian","Simulation","faith"
2458,"chalice","inexhaustibleSustenance","generalOrUnknown","Simulation","inexhaustible sustenance"
2459,"chalice","intuition","generalOrUnknown","Simulation","intuition"
2460,"chalice","juventas","roman","Simulation","Juventas"
2461,"chalice","marriage","celtic","Simulation","marriage"
2462,"chalice","prudence","generalOrUnknown","Simulation","prudence"
2463,"chalice","solomon","jewish","AttributeSimulation","Solomon"
2464,"chalice","ssBarbara","christian","EmblematicSimulation","SS Barbara"
2465,"chalice","stBarbara","christian","AttributeSimulation","St. Barbara"
2466,"chalice","theArchangelCassiel","generalOrUnknown","AssociationSimulation","the archangel Cassiel"
2467,"chalice","theBloodOfChrist","christian","Simulation","the blood of Christ"
2468,"chalice","theEucharist","christian","Simulation","the Eucharist"
2469,"chalice","theLastSupper","christian","Simulation","the Last Supper"
2470,"chalice","theNewTestament","christian","Simulation","the New Testament"
2471,"chalice","theSourceOfLife","generalOrUnknown","Simulation","the source of life"
2472,"chalice","thomasAquinas","christian","EmblematicSimulation","Thomas Aquinas"
2473,"chalice","togethernessUnderHeavenlyRule","egyptian","Simulation","togetherness under heavenly rule"
2474,"chalice","wisdom","generalOrUnknown","Simulation","wisdom"
2475,"chariot","auroraMythology","roman","Simulation","Aurora (mythology)"
2476,"chariot","authority","generalOrUnknown","Simulation","authority"
2477,"chariot","conquest","generalOrUnknown","Simulation","conquest"
2478,"chariot","hades","greek","Simulation","Hades"
2479,"chariot","helios","greek","Simulation","Helios"
2480,"chariot","heroes","generalOrUnknown","AttributeSimulation","heroes"
2481,"chariot","lunaGoddess","roman","Simulation","Luna (goddess)"
2482,"chariot","rheaMythology","greek","Simulation","Rhea (mythology)"
2483,"dragon","paganism","christian @ generalOrUnknown","AttributeSimulation @ Simulation","paganism"
2484,"dragon","theDevil","christian @ generalOrUnknown","Simulation","the devil"
2485,"dragon","vigilance","chinese @ generalOrUnknown @ heraldic","AttributeSimulation @ Simulation","vigilance"
2486,"dove","love","generalOrUnknown @ grecoRoman","Simulation","love"
2487,"dove","peace","generalOrUnknown","EmblematicSimulation @ Simulation","peace"
2488,"dove","simplicity","generalOrUnknown @ heraldic @ jewish","Simulation","simplicity"
2489,"dove","theHolySpirit","christian @ heraldic","Simulation","the Holy Spirit"
2490,"compony","constancy","heraldic","Simulation","constancy"
2491,"construction","creatingOrderOutOfChaos","generalOrUnknown","Simulation","creating order out of chaos"
2492,"construction","makingTheMentalIntoTheMaterial","generalOrUnknown","Simulation","making the mental into the material"
2493,"construction","renewingTheWorkOfCreation","generalOrUnknown","Simulation","renewing the work of creation"
2494,"copper","7thWeddingAnniversaries","generalOrUnknown","AssociationSimulation","7th wedding anniversaries"
2495,"copper","lowValue","generalOrUnknown","Simulation","low value"
2496,"copper","metalOfTheCommonPeople","generalOrUnknown","Simulation","metal of the common people"
2497,"cornusFlorida","northCarolina","generalOrUnknown","Simulation","North Carolina"
2498,"cornusFlorida","virginia","generalOrUnknown","Simulation","Virginia"
2499,"cornusNuttallii","britishColumbia","generalOrUnknown","Simulation","British Columbia"
2500,"coronation","consummation","generalOrUnknown","Simulation","consummation"
2501,"copper","aphroditeVenus","grecoRoman","AssociationSimulation","Aphrodite/Venus"
2502,"copper","arizona","generalOrUnknown","Simulation","Arizona"
2503,"copper","autumn","generalOrUnknown","Simulation","Autumn"
2504,"copper","cyprus","generalOrUnknown","AssociationSimulation","Cyprus"
2505,"copper","decay","generalOrUnknown","Simulation","decay"
2506,"copper","demeterCeres","grecoRoman","AssociationSimulation","Demeter/Ceres"
2507,"copper","firmness","generalOrUnknown","Simulation","firmness"
2508,"copper","hardness","generalOrUnknown","Simulation","hardness"
2509,"copper","harvest","generalOrUnknown","Simulation","harvest"
2510,"copper","libra","generalOrUnknown","AssociationSimulation","Libra"
2511,"copper","light","dogon","AssociationSimulation","light"
2512,"copper","money","generalOrUnknown","Simulation","money"
2513,"copper","speech","dogon","AssociationSimulation","speech"
2514,"copper","sperm","dogon","AssociationSimulation","sperm"
2515,"copper","strength","generalOrUnknown","Simulation","strength"
2516,"copper","taurus","generalOrUnknown","AssociationSimulation","Taurus"
2517,"copper","theArchangelAnael","generalOrUnknown","AssociationSimulation","the archangel Anael"
2518,"copper","utah","generalOrUnknown","Simulation","Utah"
2519,"crab","cancer","generalOrUnknown @ hindu","AssociationSimulation @ EmblematicSimulation","Cancer"
2520,"crab","drought","chinese @ generalOrUnknown","AssociationSimulation","drought"
2521,"doctor","anAgentPromotingGrowthOfTheSpiritOrTreatingItsAilments","generalOrUnknown","Simulation","an agent promoting growth of the spirit, or treating its ailments"
2522,"dog","acceptableOnlyAsAGuard","islamic","Simulation","acceptable only as a guard"
2523,"dog","accompaniesFuneralProcessions","parsi","Simulation","accompanies funeral processions"
2524,"dog","accompaniesTheSun","phoenician","Simulation","accompanies the sun"
2525,"dog","aGuardian","japanese","Simulation","a guardian"
2526,"dog","aLowAnimal","german @ islamic @ jewish","Simulation","a low animal"
2527,"dog","aMan60To80YearsOld","generalOrUnknown","Simulation","a man 60 to 80 years old"
2528,"dog","belitili","sumeroSemitic","Simulation","Belitili"
2529,"dog","bootlicking","generalOrUnknown","Simulation","bootlicking"
2530,"dog","brimo","norse","AssociationSimulation","Brimo"
2531,"dog","bullSacrifice","mithraic","AssociationSimulation","bull sacrifice"
2532,"dog","buriedWithTheirMastersToGuideTheirSoulsAfterDeath","mexicanIndian","Simulation","buried with their masters to guide their souls after death"
2533,"discus","hyacinth","greek","AssociationSimulation","Hyacinth"
2534,"dog","amenti","egyptian","AttributeSimulation","Amenti"
2535,"dog","companionOfTheDead","generalOrUnknown","Simulation","companion of the dead"
2536,"dog","companionOfTheImmortals","chinese","Simulation","companion of the Immortals"
2537,"dog","conductorOfSoulsToTheAfterworld","aztecan","Simulation","conductor of souls to the afterworld"
2538,"dog","cynicism","grecoRoman","Simulation","cynicism"
2539,"dog","depravity","generalOrUnknown","Simulation","depravity"
2540,"dog","dogsWereBuriedWithTheDeadToGuideTheirSoulsAfterDeath","siberian","Simulation","dogs were buried with the dead to guide their souls after death"
2541,"dog","eileithyia","grecoRoman","AttributeSimulation","Eileithyia"
2542,"dog","endOfTheYear","aztecan","Simulation","end of the year"
2543,"dog","fireInventor","amerindian","Simulation","fire inventor"
2544,"dog","gala","phoenician","EmblematicSimulation","Gala"
2545,"dog","guideOfTheSunOnItsJourneyUnderground","mayan","Simulation","guide of the sun on its journey underground"
2546,"dog","guideToTheSolarGodToKeepTheSunOnItsPath","egyptian","Simulation","guide to the solar god to keep the sun on its path"
2547,"dog","healingByRebirthIntoANewLife","grecoRoman","Simulation","healing by rebirth into a new life"
2548,"dog","hunterGods","celtic","AttributeSimulation","hunter gods"
2549,"dog","huntingGoddess","generalOrUnknown","AttributeSimulation","hunting goddess"
2550,"dog","intercessor","amerindian","Simulation","intercessor"
2551,"dog","interchangeableWithTheCoyote","amerindian","Simulation","interchangeable with the coyote"
2552,"dog","inventorAndBringerOfFire","african @ oceanic","Simulation","inventor and bringer of fire"
2553,"dog","marriedFidelityEspeciallyWhenShownInAWomanSLapOrAtHerFeet","generalOrUnknown","Simulation","married fidelity (especially when shown in a woman’s lap or at her feet)"
2554,"dog","naturalSulfur","alchemic","Simulation","natural sulfur"
2555,"dog","nodens","celtic","AttributeSimulation","Nodens"
2556,"dog","oneOfTheCleanestAnimalsToKillOneIsSinful","zoroastrian","Simulation","one of the cleanest animals, to kill one is sinful"
2557,"dog","orthodoxy","generalOrUnknown","Simulation","orthodoxy"
2558,"dog","prowlingEnemies","generalOrUnknown","Simulation","prowling enemies"
2559,"dog","resurrectionAndRebirth","aztecan","Simulation","resurrection and rebirth"
2560,"dog","roch","christian","AttributeSimulation","Roch"
2561,"dog","sacrificialOfferingToHecate","grecoRoman","Simulation","sacrificial offering to Hecate"
2562,"dog","sira","christian","AttributeSimulation","Sira"
2563,"dog","theBaleful","sumeroSemitic","Simulation","the baleful"
2564,"dog","theDemonic","sumeroSemitic","Simulation","the demonic"
2565,"dog","thePersonificationsOfSmell","generalOrUnknown","AttributeSimulation","the personifications of Smell"
2566,"dog","unswervingDevotion","chinese","Simulation","unswerving devotion"
2567,"dog","wendelin","christian","AttributeSimulation","Wendelin"
2568,"dish","family","generalOrUnknown","Simulation","family"
2569,"dish","limitation","generalOrUnknown","Simulation","limitation"
2570,"dish","martyrdom","generalOrUnknown","Simulation","martyrdom"
2571,"dish","theFemininePrinciple","generalOrUnknown","Simulation","the feminine principle"
2572,"doctor","aiApaecEspeciallyWithLizardAndDog","mochican","Simulation","Ai apaec (especially with lizard and dog)"
2573,"dog","affection","heraldic","Simulation","affection"
2574,"dog","anubis","egyptian","AttributeSimulation","Anubis"
2575,"dog","artemisDiana","grecoRoman","AttributeSimulation","Artemis/Diana"
2576,"dog","asclepius","grecoRoman","AttributeSimulation","Asclepius"
2577,"dog","astarte","sumeroSemitic","AttributeSimulation","Astarte"
2578,"dog","chaos","aztecan","Simulation","chaos"
2579,"dog","conductorOfSouls","grecoRoman","Simulation","conductor of souls"
2580,"dog","conductorOfTheSoulsOfTheDead","mithraic","Simulation","conductor of the souls of the dead"
2581,"dog","conjugalFidelity","christian","Simulation","conjugal fidelity"
2582,"dog","contempt","generalOrUnknown","Simulation","contempt"
2583,"dog","cunning","generalOrUnknown","Simulation","cunning"
2584,"dog","dawn","generalOrUnknown","Simulation","dawn"
2585,"dog","drivesAwayEvilSpirits","persian","Simulation","drives away evil spirits"
2586,"dog","egotism","generalOrUnknown","Simulation","egotism"
2587,"dog","envy","generalOrUnknown","AttributeSimulation @ Simulation","envy"
2588,"dog","fertility","generalOrUnknown","Simulation","fertility"
2589,"dog","folly","generalOrUnknown","Simulation","folly"
2590,"dog","fury","generalOrUnknown","Simulation","fury"
2591,"dog","gluttony","islamic","Simulation","gluttony"
2592,"dog","guardian","amerindian","Simulation","guardian"
2593,"dog","hades","greek","Simulation","Hades"
2594,"dog","healing","generalOrUnknown","Simulation","healing"
2595,"dog","healingWaters","celtic","AssociationSimulation","healing waters"
2596,"dog","hecate","grecoRoman","AttributeSimulation","Hecate"
2597,"dog","hell","generalOrUnknown","AssociationSimulation","hell"
2598,"dog","hephaestusVulcan","grecoRoman","AttributeSimulation","Hephaestus/Vulcan"
2599,"dog","heraclesHercules","grecoRoman","AttributeSimulation","Heracles/Hercules"
2600,"dog","heresy","generalOrUnknown","Simulation","heresy"
2601,"dog","hermesMercury","grecoRoman","AttributeSimulation","Hermes/Mercury"
2602,"dog","heroes","celtic","AttributeSimulation","heroes"
2603,"dog","huehueteotl","aztecan","EmblematicSimulation","Huehueteotl"
2604,"dog","impudence","grecoRoman","Simulation","impudence"
2605,"coral","rarity","japanese","EmblematicSimulation","rarity"
2606,"copper","venusPlanet","generalOrUnknown","AssociationSimulation","Venus (planet)"
